snapshot_ts,queried_stop_id,route,direction,eta,eta_seq,data_timestamp
2025-11-03T22:34:36.432893+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:18:04+08:00,3,2025-11-04T06:33:49+08:00
2025-11-03T22:34:36.432893+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T06:46:28+08:00,1,2025-11-04T06:33:49+08:00
2025-11-03T22:34:36.432893+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:00:30+08:00,2,2025-11-04T06:33:49+08:00
2025-11-03T22:34:36.432893+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:18:04+08:00,3,2025-11-04T06:33:49+08:00
2025-11-03T22:34:36.432893+00:00,B34F59A0270AEDA4,274,O,2025-11-04T07:11:19+08:00,1,2025-11-04T06:33:49+08:00
2025-11-03T22:34:36.432893+00:00,B34F59A0270AEDA4,274P,I,2025-11-04T07:25:50+08:00,1,2025-11-04T06:33:49+08:00
2025-11-03T22:34:36.432893+00:00,B34F59A0270AEDA4,82D,O,2025-11-04T07:20:02+08:00,1,2025-11-04T06:33:49+08:00
2025-11-03T22:35:06.677273+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:44:49+08:00,1,2025-11-04T06:34:49+08:00
2025-11-03T22:35:06.677273+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:58:58+08:00,2,2025-11-04T06:34:49+08:00
2025-11-03T22:35:06.677273+00:00,3F24CFF9046300D9,272A,O,2025-11-04T07:15:55+08:00,3,2025-11-04T06:34:49+08:00
2025-11-03T22:35:06.677273+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:44:49+08:00,1,2025-11-04T06:34:49+08:00
2025-11-03T22:35:06.677273+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:58:58+08:00,2,2025-11-04T06:34:49+08:00
2025-11-03T22:35:06.677273+00:00,3F24CFF9046300D9,272A,O,2025-11-04T07:15:55+08:00,3,2025-11-04T06:34:49+08:00
2025-11-03T22:35:06.677273+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:44:49+08:00,1,2025-11-04T06:34:49+08:00
2025-11-03T22:35:06.677273+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:58:58+08:00,2,2025-11-04T06:34:49+08:00
2025-11-03T22:35:06.677273+00:00,3F24CFF9046300D9,272A,O,2025-11-04T07:15:55+08:00,3,2025-11-04T06:34:49+08:00
2025-11-03T22:35:06.677273+00:00,3F24CFF9046300D9,274,O,2025-11-04T07:09:52+08:00,1,2025-11-04T06:34:49+08:00
2025-11-03T22:35:06.677273+00:00,3F24CFF9046300D9,274P,I,2025-11-04T07:24:46+08:00,1,2025-11-04T06:34:49+08:00
2025-11-03T22:35:06.677273+00:00,3F24CFF9046300D9,82D,O,2025-11-04T07:18:42+08:00,1,2025-11-04T06:34:49+08:00
2025-11-03T22:35:06.677273+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T06:46:25+08:00,1,2025-11-04T06:34:49+08:00
2025-11-03T22:35:06.677273+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:00:30+08:00,2,2025-11-04T06:34:49+08:00
2025-11-03T22:35:06.677273+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:18:04+08:00,3,2025-11-04T06:34:49+08:00
2025-11-03T22:35:06.677273+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T06:46:25+08:00,1,2025-11-04T06:34:49+08:00
2025-11-03T22:35:06.677273+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:00:30+08:00,2,2025-11-04T06:34:49+08:00
2025-11-03T22:35:06.677273+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:18:04+08:00,3,2025-11-04T06:34:49+08:00
2025-11-03T22:35:06.677273+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T06:46:25+08:00,1,2025-11-04T06:34:49+08:00
2025-11-03T22:35:06.677273+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:00:30+08:00,2,2025-11-04T06:34:49+08:00
2025-11-03T22:35:06.677273+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:18:04+08:00,3,2025-11-04T06:34:49+08:00
2025-11-03T22:35:06.677273+00:00,B34F59A0270AEDA4,274,O,2025-11-04T07:11:19+08:00,1,2025-11-04T06:34:49+08:00
2025-11-03T22:35:06.677273+00:00,B34F59A0270AEDA4,274P,I,2025-11-04T07:25:50+08:00,1,2025-11-04T06:34:49+08:00
2025-11-03T22:35:06.677273+00:00,B34F59A0270AEDA4,82D,O,2025-11-04T07:20:02+08:00,1,2025-11-04T06:34:49+08:00
2025-11-03T22:35:36.889540+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:44:49+08:00,1,2025-11-04T06:34:49+08:00
2025-11-03T22:35:36.889540+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:58:58+08:00,2,2025-11-04T06:34:49+08:00
2025-11-03T22:35:36.889540+00:00,3F24CFF9046300D9,272A,O,2025-11-04T07:15:55+08:00,3,2025-11-04T06:34:49+08:00
2025-11-03T22:35:36.889540+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:44:49+08:00,1,2025-11-04T06:34:49+08:00
2025-11-03T22:35:36.889540+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:58:58+08:00,2,2025-11-04T06:34:49+08:00
2025-11-03T22:35:36.889540+00:00,3F24CFF9046300D9,272A,O,2025-11-04T07:15:55+08:00,3,2025-11-04T06:34:49+08:00
2025-11-03T22:35:36.889540+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:44:49+08:00,1,2025-11-04T06:34:49+08:00
2025-11-03T22:35:36.889540+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:58:58+08:00,2,2025-11-04T06:34:49+08:00
2025-11-03T22:35:36.889540+00:00,3F24CFF9046300D9,272A,O,2025-11-04T07:15:55+08:00,3,2025-11-04T06:34:49+08:00
2025-11-03T22:35:36.889540+00:00,3F24CFF9046300D9,274,O,2025-11-04T07:09:52+08:00,1,2025-11-04T06:34:49+08:00
2025-11-03T22:35:36.889540+00:00,3F24CFF9046300D9,274P,I,2025-11-04T07:24:46+08:00,1,2025-11-04T06:34:49+08:00
2025-11-03T22:35:36.889540+00:00,3F24CFF9046300D9,82D,O,2025-11-04T07:18:42+08:00,1,2025-11-04T06:34:49+08:00
2025-11-03T22:35:36.889540+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T06:46:25+08:00,1,2025-11-04T06:34:49+08:00
2025-11-03T22:35:36.889540+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:00:30+08:00,2,2025-11-04T06:34:49+08:00
2025-11-03T22:35:36.889540+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:18:04+08:00,3,2025-11-04T06:34:49+08:00
2025-11-03T22:35:36.889540+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T06:46:25+08:00,1,2025-11-04T06:34:49+08:00
2025-11-03T22:35:36.889540+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:00:30+08:00,2,2025-11-04T06:34:49+08:00
2025-11-03T22:35:36.889540+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:18:04+08:00,3,2025-11-04T06:34:49+08:00
2025-11-03T22:35:36.889540+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T06:46:25+08:00,1,2025-11-04T06:34:49+08:00
2025-11-03T22:35:36.889540+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:00:30+08:00,2,2025-11-04T06:34:49+08:00
2025-11-03T22:35:36.889540+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:18:04+08:00,3,2025-11-04T06:34:49+08:00
2025-11-03T22:35:36.889540+00:00,B34F59A0270AEDA4,274,O,2025-11-04T07:11:19+08:00,1,2025-11-04T06:34:49+08:00
2025-11-03T22:35:36.889540+00:00,B34F59A0270AEDA4,274P,I,2025-11-04T07:25:50+08:00,1,2025-11-04T06:34:49+08:00
2025-11-03T22:35:36.889540+00:00,B34F59A0270AEDA4,82D,O,2025-11-04T07:20:02+08:00,1,2025-11-04T06:34:49+08:00
2025-11-03T22:36:06.994394+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:44:47+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:36:06.994394+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:58:58+08:00,2,2025-11-04T06:35:49+08:00
2025-11-03T22:36:06.994394+00:00,3F24CFF9046300D9,272A,O,2025-11-04T07:15:55+08:00,3,2025-11-04T06:35:49+08:00
2025-11-03T22:36:06.994394+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:44:47+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:36:06.994394+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:58:58+08:00,2,2025-11-04T06:35:49+08:00
2025-11-03T22:36:06.994394+00:00,3F24CFF9046300D9,272A,O,2025-11-04T07:15:55+08:00,3,2025-11-04T06:35:49+08:00
2025-11-03T22:36:06.994394+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:44:47+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:36:06.994394+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:58:58+08:00,2,2025-11-04T06:35:49+08:00
2025-11-03T22:36:06.994394+00:00,3F24CFF9046300D9,272A,O,2025-11-04T07:15:55+08:00,3,2025-11-04T06:35:49+08:00
2025-11-03T22:36:06.994394+00:00,3F24CFF9046300D9,274,O,2025-11-04T07:09:52+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:36:06.994394+00:00,3F24CFF9046300D9,274P,I,2025-11-04T07:24:46+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:36:06.994394+00:00,3F24CFF9046300D9,82D,O,2025-11-04T07:18:42+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:36:06.994394+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T06:46:23+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:36:06.994394+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:00:30+08:00,2,2025-11-04T06:35:49+08:00
2025-11-03T22:36:06.994394+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:18:04+08:00,3,2025-11-04T06:35:49+08:00
2025-11-03T22:36:06.994394+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T06:46:23+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:36:06.994394+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:00:30+08:00,2,2025-11-04T06:35:49+08:00
2025-11-03T22:36:06.994394+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:18:04+08:00,3,2025-11-04T06:35:49+08:00
2025-11-03T22:36:06.994394+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T06:46:23+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:36:06.994394+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:00:30+08:00,2,2025-11-04T06:35:49+08:00
2025-11-03T22:36:06.994394+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:18:04+08:00,3,2025-11-04T06:35:49+08:00
2025-11-03T22:36:06.994394+00:00,B34F59A0270AEDA4,274,O,2025-11-04T07:11:19+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:36:06.994394+00:00,B34F59A0270AEDA4,274P,I,2025-11-04T07:25:50+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:36:06.994394+00:00,B34F59A0270AEDA4,82D,O,2025-11-04T07:20:02+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:36:37.219608+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:44:47+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:36:37.219608+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:58:58+08:00,2,2025-11-04T06:35:49+08:00
2025-11-03T22:36:37.219608+00:00,3F24CFF9046300D9,272A,O,2025-11-04T07:15:55+08:00,3,2025-11-04T06:35:49+08:00
2025-11-03T22:36:37.219608+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:44:47+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:36:37.219608+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:58:58+08:00,2,2025-11-04T06:35:49+08:00
2025-11-03T22:36:37.219608+00:00,3F24CFF9046300D9,272A,O,2025-11-04T07:15:55+08:00,3,2025-11-04T06:35:49+08:00
2025-11-03T22:36:37.219608+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:44:47+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:36:37.219608+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:58:58+08:00,2,2025-11-04T06:35:49+08:00
2025-11-03T22:36:37.219608+00:00,3F24CFF9046300D9,272A,O,2025-11-04T07:15:55+08:00,3,2025-11-04T06:35:49+08:00
2025-11-03T22:36:37.219608+00:00,3F24CFF9046300D9,274,O,2025-11-04T07:09:52+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:36:37.219608+00:00,3F24CFF9046300D9,274P,I,2025-11-04T07:24:46+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:36:37.219608+00:00,3F24CFF9046300D9,82D,O,2025-11-04T07:18:42+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:36:37.219608+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T06:46:23+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:36:37.219608+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:00:30+08:00,2,2025-11-04T06:35:49+08:00
2025-11-03T22:36:37.219608+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:18:04+08:00,3,2025-11-04T06:35:49+08:00
2025-11-03T22:36:37.219608+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T06:46:23+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:36:37.219608+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:00:30+08:00,2,2025-11-04T06:35:49+08:00
2025-11-03T22:36:37.219608+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:18:04+08:00,3,2025-11-04T06:35:49+08:00
2025-11-03T22:36:37.219608+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T06:46:23+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:36:37.219608+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:00:30+08:00,2,2025-11-04T06:35:49+08:00
2025-11-03T22:36:37.219608+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:18:04+08:00,3,2025-11-04T06:35:49+08:00
2025-11-03T22:36:37.219608+00:00,B34F59A0270AEDA4,274,O,2025-11-04T07:11:19+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:36:37.219608+00:00,B34F59A0270AEDA4,274P,I,2025-11-04T07:25:50+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:36:37.219608+00:00,B34F59A0270AEDA4,82D,O,2025-11-04T07:20:02+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:37:07.370084+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:44:47+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:37:07.370084+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:58:58+08:00,2,2025-11-04T06:35:49+08:00
2025-11-03T22:37:07.370084+00:00,3F24CFF9046300D9,272A,O,2025-11-04T07:15:55+08:00,3,2025-11-04T06:35:49+08:00
2025-11-03T22:37:07.370084+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:44:47+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:37:07.370084+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:58:58+08:00,2,2025-11-04T06:35:49+08:00
2025-11-03T22:37:07.370084+00:00,3F24CFF9046300D9,272A,O,2025-11-04T07:15:55+08:00,3,2025-11-04T06:35:49+08:00
2025-11-03T22:37:07.370084+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:44:47+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:37:07.370084+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:58:58+08:00,2,2025-11-04T06:35:49+08:00
2025-11-03T22:37:07.370084+00:00,3F24CFF9046300D9,272A,O,2025-11-04T07:15:55+08:00,3,2025-11-04T06:35:49+08:00
2025-11-03T22:37:07.370084+00:00,3F24CFF9046300D9,274,O,2025-11-04T07:09:52+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:37:07.370084+00:00,3F24CFF9046300D9,274P,I,2025-11-04T07:24:46+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:37:07.370084+00:00,3F24CFF9046300D9,82D,O,2025-11-04T07:18:42+08:00,1,2025-11-04T06:35:49+08:00
2025-11-03T22:37:07.370084+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T06:46:08+08:00,1,2025-11-04T06:36:49+08:00
2025-11-03T22:37:07.370084+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:00:30+08:00,2,2025-11-04T06:36:49+08:00
2025-11-03T22:37:07.370084+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:18:04+08:00,3,2025-11-04T06:36:49+08:00
2025-11-03T22:37:07.370084+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T06:46:08+08:00,1,2025-11-04T06:36:49+08:00
2025-11-03T22:37:07.370084+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:00:30+08:00,2,2025-11-04T06:36:49+08:00
2025-11-03T22:37:07.370084+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:18:04+08:00,3,2025-11-04T06:36:49+08:00
2025-11-03T22:37:07.370084+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T06:46:08+08:00,1,2025-11-04T06:36:49+08:00
2025-11-03T22:37:07.370084+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:00:30+08:00,2,2025-11-04T06:36:49+08:00
2025-11-03T22:37:07.370084+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:18:04+08:00,3,2025-11-04T06:36:49+08:00
2025-11-03T22:37:07.370084+00:00,B34F59A0270AEDA4,274,O,2025-11-04T07:11:19+08:00,1,2025-11-04T06:36:49+08:00
2025-11-03T22:37:07.370084+00:00,B34F59A0270AEDA4,274P,I,2025-11-04T07:25:50+08:00,1,2025-11-04T06:36:49+08:00
2025-11-03T22:37:07.370084+00:00,B34F59A0270AEDA4,82D,O,2025-11-04T07:20:02+08:00,1,2025-11-04T06:36:49+08:00
2025-11-03T22:37:37.493630+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:44:44+08:00,1,2025-11-04T06:37:23+08:00
2025-11-03T22:37:37.493630+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:58:58+08:00,2,2025-11-04T06:37:23+08:00
2025-11-03T22:37:37.493630+00:00,3F24CFF9046300D9,272A,O,2025-11-04T07:15:55+08:00,3,2025-11-04T06:37:23+08:00
2025-11-03T22:37:37.493630+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:44:44+08:00,1,2025-11-04T06:37:23+08:00
2025-11-03T22:37:37.493630+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:58:58+08:00,2,2025-11-04T06:37:23+08:00
2025-11-03T22:37:37.493630+00:00,3F24CFF9046300D9,272A,O,2025-11-04T07:15:55+08:00,3,2025-11-04T06:37:23+08:00
2025-11-03T22:37:37.493630+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:44:44+08:00,1,2025-11-04T06:37:23+08:00
2025-11-03T22:37:37.493630+00:00,3F24CFF9046300D9,272A,O,2025-11-04T06:58:58+08:00,2,2025-11-04T06:37:23+08:00
2025-11-03T22:37:37.493630+00:00,3F24CFF9046300D9,272A,O,2025-11-04T07:15:55+08:00,3,2025-11-04T06:37:23+08:00
2025-11-03T22:37:37.493630+00:00,3F24CFF9046300D9,274,O,2025-11-04T07:09:52+08:00,1,2025-11-04T06:37:23+08:00
2025-11-03T22:37:37.493630+00:00,3F24CFF9046300D9,274P,I,2025-11-04T07:24:46+08:00,1,2025-11-04T06:37:23+08:00
2025-11-03T22:37:37.493630+00:00,3F24CFF9046300D9,82D,O,2025-11-04T07:18:42+08:00,1,2025-11-04T06:37:23+08:00
2025-11-03T22:37:37.493630+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T06:46:08+08:00,1,2025-11-04T06:36:49+08:00
2025-11-03T22:37:37.493630+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:00:30+08:00,2,2025-11-04T06:36:49+08:00
2025-11-03T22:37:37.493630+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:18:04+08:00,3,2025-11-04T06:36:49+08:00
2025-11-03T22:37:37.493630+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T06:46:08+08:00,1,2025-11-04T06:36:49+08:00
2025-11-03T22:37:37.493630+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:00:30+08:00,2,2025-11-04T06:36:49+08:00
2025-11-03T22:37:37.493630+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:18:04+08:00,3,2025-11-04T06:36:49+08:00
2025-11-03T22:37:37.493630+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T06:46:08+08:00,1,2025-11-04T06:36:49+08:00
2025-11-03T22:37:37.493630+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:00:30+08:00,2,2025-11-04T06:36:49+08:00
2025-11-03T22:37:37.493630+00:00,B34F59A0270AEDA4,272A,O,2025-11-04T07:18:04+08:00,3,2025-11-04T06:36:49+08:00
