snapshot_ts,route,3F24CFF9046300D9,B34F59A0270AEDA4,eta_A,eta_B,delta_s
2025-11-03 22:37:37.493630+00:00,274,2025-11-04 07:09:52+08:00,2025-11-04 07:11:19+08:00,2025-11-04 07:09:52+08:00,2025-11-04 07:11:19+08:00,87.0
2025-11-03 22:37:37.493630+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:37:37.493630+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:38:07.622154+00:00,272A,2025-11-04 06:44:44+08:00,2025-11-04 06:46:16+08:00,2025-11-04 06:44:44+08:00,2025-11-04 06:46:16+08:00,92.0
2025-11-03 22:38:07.622154+00:00,274,2025-11-04 07:09:52+08:00,2025-11-04 07:11:19+08:00,2025-11-04 07:09:52+08:00,2025-11-04 07:11:19+08:00,87.0
2025-11-03 22:38:07.622154+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:38:07.622154+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:38:37.793227+00:00,272A,2025-11-04 06:44:44+08:00,2025-11-04 06:46:16+08:00,2025-11-04 06:44:44+08:00,2025-11-04 06:46:16+08:00,92.0
2025-11-03 22:38:37.793227+00:00,274,2025-11-04 07:09:52+08:00,2025-11-04 07:11:19+08:00,2025-11-04 07:09:52+08:00,2025-11-04 07:11:19+08:00,87.0
2025-11-03 22:38:37.793227+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:38:37.793227+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:39:07.903960+00:00,272A,2025-11-04 06:44:28+08:00,2025-11-04 06:46:04+08:00,2025-11-04 06:44:28+08:00,2025-11-04 06:46:04+08:00,96.0
2025-11-03 22:39:07.903960+00:00,274,2025-11-04 07:09:52+08:00,2025-11-04 07:11:19+08:00,2025-11-04 07:09:52+08:00,2025-11-04 07:11:19+08:00,87.0
2025-11-03 22:39:07.903960+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:39:07.903960+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
2025-11-03 22:39:38.167682+00:00,272A,2025-11-04 06:44:28+08:00,2025-11-04 06:46:04+08:00,2025-11-04 06:44:28+08:00,2025-11-04 06:46:04+08:00,96.0
2025-11-03 22:39:38.167682+00:00,274,2025-11-04 07:09:52+08:00,2025-11-04 07:11:19+08:00,2025-11-04 07:09:52+08:00,2025-11-04 07:11:19+08:00,87.0
2025-11-03 22:39:38.167682+00:00,274P,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,2025-11-04 07:24:46+08:00,2025-11-04 07:25:50+08:00,64.0
2025-11-03 22:39:38.167682+00:00,82D,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,2025-11-04 07:18:42+08:00,2025-11-04 07:20:02+08:00,80.0
